City,Lat,Lng,Temperature,Humidity,Cloudiness,Windspeed,Country,Date
mataura,-46.1927,168.8643,50.49,85,98,8.14,NZ,1669857681
ponta do sol,32.6667,-17.1,69.71,75,81,8.23,PT,1669857681
hithadhoo,-0.6,73.0833,80.85,69,60,6.76,MV,1669857682
paso de los toros,-32.8167,-56.5167,77.36,59,95,13.71,UY,1669857682
arica,-18.475,-70.3042,67.55,77,0,2.3,CL,1669857683
rikitea,-23.1203,-134.9692,73.26,72,72,12.84,PF,1669857559
olafsvik,64.8945,-23.7142,43.59,80,44,33.6,IS,1669857598
havre-saint-pierre,50.2334,-63.5986,32.0,80,100,16.11,CA,1669857683
bluff,-46.6,168.3333,50.81,64,40,20.11,NZ,1669857684
gasa,31.5,34.4667,63.27,63,0,5.01,PS,1669857684
cohoes,42.7742,-73.7001,43.88,71,75,19.57,US,1669857470
arraial do cabo,-22.9661,-42.0278,74.12,91,100,20.56,BR,1669857685
severo-kurilsk,50.6789,156.125,30.09,73,99,23.49,RU,1669857685
avarua,-21.2078,-159.775,82.45,74,40,16.11,CK,1669857685
sisimiut,66.9395,-53.6735,15.4,82,100,26.15,GL,1669857686
yellowknife,62.456,-114.3525,-21.44,76,40,4.61,CA,1669857686
sola,-13.8833,167.55,82.51,75,53,14.43,VU,1669857687
tonantins,-2.8731,-67.8022,79.7,79,99,3.94,BR,1669857687
maldonado,-34.6667,-54.9167,71.22,86,0,14.88,UY,1669857529
cape town,-33.9258,18.4232,70.38,81,75,8.05,ZA,1669857600
marseille,43.3333,5.5,47.86,80,26,6.33,FR,1669857688
faanui,-16.4833,-151.75,80.4,78,16,14.58,PF,1669857688
jamestown,42.097,-79.2353,31.59,84,100,14.97,US,1669857689
nikolskoye,59.7035,30.7861,22.91,90,95,3.65,RU,1669857689
ribeira grande,38.5167,-28.7,61.77,78,13,3.0,PT,1669857690
punta arenas,-53.15,-70.9167,50.11,53,20,29.93,CL,1669857690
kapaa,22.0752,-159.319,82.72,72,0,20.71,US,1669857691
sao joao da barra,-21.6403,-41.0511,74.64,92,100,15.17,BR,1669857691
calama,-22.4667,-68.9333,55.89,30,0,13.8,CL,1669857692
vaini,-21.2,-175.2,84.36,79,75,8.05,TO,1669857692
kahului,20.8947,-156.47,80.96,77,40,13.8,US,1669857492
busselton,-33.65,115.3333,66.83,68,90,9.13,AU,1669857693
beringovskiy,63.05,179.3167,29.26,90,100,10.38,RU,1669857693
sobolevo,54.4299,31.8996,20.17,88,100,8.43,RU,1669857693
port elizabeth,-33.918,25.5701,65.1,91,0,1.99,ZA,1669857432
tomatlan,19.9333,-105.25,72.16,82,7,1.14,MX,1669857694
ushuaia,-54.8,-68.3,47.86,57,20,12.66,AR,1669857694
albany,42.6001,-73.9662,42.58,72,79,13.38,US,1669857319
melilla,35.2937,-2.9383,50.38,76,0,3.44,ES,1669857695
hilo,19.7297,-155.09,86.29,81,0,9.22,US,1669857622
